Slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)","ฝ่ายรับ
ผิดชอบ",กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
1,05:00,08:00,180,REG,check ชื่อ พี่บ้าน+พี่ส่วนกลาง,ห้องฝ่ายทะเบียน (116/3 ตึก3),ซี 0897743330,"ซี 0897743330
แนน 0613956058","-checkชื่อพี่ทั้งหมด
-ตรวจ ATK พี่บ้านทั้งหมดที่ตรงโต๊ะทะเบียน
-บรีฟทะเบียนบ้าน+แจกป้ายชื่อ"
2,05:30,05:30,-,COOR,นัดประสาน,ห้องฝ่ายประสาน (305 ตึก3),ฟ้า 0816443327,ทุกคนที่มาแล้ว,- ลงทะเบียนที่ทะเบียนกลางให้เรียบร้อยก่อน
3,05:30,05:35,5,COOR,ตามประสานที่ยังไม่มา,ห้องฝ่ายประสาน (305 ตึก3),ฟ้า 0816443327,ทุกคนที่มาแล้ว,- เช็กชื่อ และโทรตามประสานที่ยังไม่มา
4,05:35,05:45,10,COOR,ไฟนอลบรีฟ day 1,ห้องฝ่ายประสาน (305 ตึก3),ฟ้า 0816443327,ฟ้า 0816443327,"- บรีฟการแก้ Emergency ส่วนบ้าน
- บรีฟการแก้ Emergency ส่วนกิจฐาน
- บรีฟการแจ้ง +-process"
5,05:45,06:10,25,PLAN,บรีฟแผนประจำบ้าน,"ลานเกียร์และที่ราบสูง
icanteen และลานชาไทย
สวนรวมใจ
ใต้ตึก 100
ใต้ตึก 4",เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 100 - โอ๊ค 0902156600
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","-พี่คุมโซนบรีฟแผนประจำบ้านแยกตามโซนที่รับผิดชอบ
agenda
- ทุกอย่างที่ต้องทำในวันนี้"
6,05:45,05:45,-,PLAN,นัดแผนกลางและแผนประจำบ้าน,"ลานเกียร์และที่ราบสูง
icanteen และลานชาไทย
สวนรวมใจ
ใต้ตึก 100
ใต้ตึก 4",น้ำพั้นซ์ 0924988979,แผนกลางและแผนประจำบ้านทุกคน,"-เวลานี้ทุกคนต้องถึงแล้ว
-นัดแผนกลางและแผนประจำบ้าน

ลานเกียร์และที่ราบสูง ที่ ที่ราบสูง
icanteen และลานชาไทย ที่ ลานชาไทย
สวนรวมใจ ที่ ลานหน้า Amazon
ใต้ตึก 100 ที่ ใต้ตึก 100
ใต้ตึก 4 ที่ ใต้ตึก 4"
7,05:45,05:45,-,COOR,นัดพี่บ้านทุกคน,"i-canteen ชั้น 1 (ยูไม่ตอบ, ยูว้อน)
ใต้ตึก 100 (ยูเทิร์น, ยูไฟเยอร์, ยูไม่หลับ)
ใต้ตึก 4 (ยูเอฟโอ, ยูโร่, ยูบายพาร์ท)
ลานเกียร์ (ยูวี, ยูกับพี่, ยูนิคอร์น, ยูร้องโฮ่ง, ยูต่อ)
ลานชาไทย (ยูเชื่อบ่)
ที่ราบสูง (ยูพี่น้อง, ยูในใจ)
สวนรวมใจ (ยูเลิฟ, ยูคนเดียว)",ฟ้า 0816443327,ทุกคนที่มาแล้ว,- ลงทะเบียนที่ทะเบียนกลางให้เรียบร้อยก่อน
8,05:45,05:55,10,COOR,ตามพี่บ้านที่ยังไม่มา,"i-canteen ชั้น 1 (ยูไม่ตอบ, ยูว้อน)
ใต้ตึก 100 (ยูเทิร์น, ยูไฟเยอร์, ยูไม่หลับ)
ใต้ตึก 4 (ยูเอฟโอ, ยูโร่, ยูบายพาร์ท)
ลานเกียร์ (ยูวี, ยูกับพี่, ยูนิคอร์น, ยูร้องโฮ่ง, ยูต่อ)
ลานชาไทย (ยูเชื่อบ่)
ที่ราบสูง (ยูพี่น้อง, ยูในใจ)
สวนรวมใจ (ยูเลิฟ, ยูคนเดียว)",ฟ้า 0816443327,ทุกคนที่มาแล้ว,"- ตามพ่อบ้านแม่บ้าน และทะเบียนบ้าน
- ให้ทุกโต๊ะบ้านมีพี่บ้านคอยดูแลและเล่นกับน้อง"
9,05:55,06:00,5,COOR,เอาธงบ้าน,หน้าห้อง กวศ (ตึก 4 ชั้น 2),ฟ้า 0816443327,"ยูเทิร์น - ซีดี 0909769236
ยูไฟเยอร์ - เต้ 0920921853
ยูเลิฟ - ฟ้า 0816443327
ยูกับพี่ - ปิงปอง 0989838988
ยูวี - อุ๊ง 0897924157
ยูว้อน - พอร์ช 0625901145
ยูพี่น้อง - บ๊อบบี้ 0969549900
ยูเชื่อบ่ - พุทธ 0634164067
ยูไม่หลับ - เชียร์ 0839986709
ยูต่อ - พุทธ 0634164067
ยูบายพาร์ท - ปุ๋ย 0968635225
ยูไม่ตอบ - โฟกัส 0956971900
ยูโร่ - โอ๊ต 0904041246
ยูนิคอร์น - ริกะ 0971310792
ยูคนเดียว - พอร์ช 0625901145
ยูเอฟโอ - เบว 0649745945
ยูร้องโฮ่ง - วา 0934427820
ยูในใจ - ฟ้า 0816443327",- ประสานนำธงบ้านจากหน้าห้อง กวศ มาไว้ที่โต๊ะบ้านที่ตัวเองดูแล
10,06:00,06:15,15,COOR,เช็กความพร้อมโต๊ะบ้าน,"i-canteen ชั้น 1 (ยูไม่ตอบ, ยูว้อน)
ใต้ตึก 100 (ยูเทิร์น, ยูไฟเยอร์, ยูไม่หลับ)
ใต้ตึก 4 (ยูเอฟโอ, ยูโร่, ยูบายพาร์ท)
ลานเกียร์ (ยูวี, ยูกับพี่, ยูนิคอร์น, ยูร้องโฮ่ง, ยูต่อ)
ลานชาไทย (ยูเชื่อบ่)
ที่ราบสูง (ยูพี่น้อง, ยูในใจ)
สวนรวมใจ (ยูเลิฟ, ยูคนเดียว)",ฟ้า 0816443327,"ยูเทิร์น - ซีดี 0909769236
ยูไฟเยอร์ - เต้ 0920921853
ยูเลิฟ - ฟ้า 0816443327
ยูกับพี่ - ปิงปอง 0989838988
ยูวี - อุ๊ง 0897924157
ยูว้อน - พอร์ช 0625901145
ยูพี่น้อง - บ๊อบบี้ 0969549900
ยูเชื่อบ่ - พุทธ 0634164067
ยูไม่หลับ - เชียร์ 0839986709
ยูต่อ - พุทธ 0634164067
ยูบายพาร์ท - ปุ๋ย 0968635225
ยูไม่ตอบ - โฟกัส 0956971900
ยูโร่ - โอ๊ต 0904041246
ยูนิคอร์น - ริกะ 0971310792
ยูคนเดียว - พอร์ช 0625901145
ยูเอฟโอ - เบว 0649745945
ยูร้องโฮ่ง - วา 0934427820
ยูในใจ - ฟ้า 0816443327","เช็กพี่บ้านที่ต้องมา stanby 
- พ่อบ้านแม่บ้าน
- ทะเบียนบ้าน
- แผนบ้าน
- พี่บ้านที่คอย entertain น้อง
- เตรียมระบบและโต๊ะเตรียมให้น้องตรวจ atk"
