slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)",ฝ่ายรับผิดชอบ,กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
1,05:30,05:30,-,COOP,นัดประสาน,ใต้ตึก 100 ปี,ข้าวหอม (0899397816),บ้าน 5 บ้านไอจาม ประสาน C - ข้าวหอม 0899397816,**เวลานี้คือทุกคนต้องถึงแล้ว**
2,05:30,05:35,5,COOP,โทรตามประสานทุกคนที่มาสาย,ใต้ตึก 100 ปี,ข้าวหอม (0899397816),ทุกคนที่มาแล้ว ,เบอร์ โทรตามประสานบ้านตัวเองก่อน
3,05:30,08:00,150,COOP,ดูแลน้อง,เก้าอี้ทางเดินใต้ตึก 3,ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน A - นัน 0982618286
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน A - นุ่น 0931695291
บ้าน 3 บ้านไอรอเธอ ประสาน A - โชติ 0956735563
บ้าน 4 บ้านไอแฟนยู ประสาน A - ฟ้า 0816443327  
บ้าน 5 บ้านไอจาม ประสาน A - ชีส 0985602909
บ้าน 6 บ้านไอเพื่อน ประสาน A - เชียร์ 0839986709
บ้าน 7 บ้านไอแดง ประสาน A - น้ำเพชร 0818822595
บ้าน 8 บ้านไอน์สไตน์ ประสาน A - พิม 0994380809",ประสานดูแลน้องที่มาก่อนเวลาลงทะเบียน
4,05:35,05:40,5,COOP,บรีฟประสาน,ใต้ตึก 100 ปี,ข้าวหอม (0899397816),บ้าน 5 บ้านไอจาม ประสาน C - ข้าวหอม 0899397816,
5,05:40,05:40,-,COOP,เอาอุปกรณ์ลงทะเบียนและธงบ้าน,ห้อง กวศ.,ลูกขุน (0945619146),"บ้าน 4 บ้านไอแฟนยู ประสาน C - ลูกขุน 0945619146
บ้าน 8 บ้านไอน์สไตน์ ประสาน C - นุติ 0814139767",
6,05:40,06:00,20,COOP,"จัดโต๊ะลงทะเบียน
(เตรียมป้ายชื่อ + tag กระเป๋า)",โต๊ะบ้าน ,ข้าวหอม (0899397816),"บ้าน 1 บ้านไอคัท ประสาน B - คุณ 0900725783
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน B - บูม 0944476075
         บ้าน 3 บ้านไอรอเธอ ประสาน B - แบมแบม 0917356085
บ้าน 4 บ้านไอแฟนยู ประสาน B - ปัด 0954947193
    บ้าน 5 บ้านไอจาม ประสาน B - ปัน 0838410404
   บ้าน 6 บ้านไอเพื่อน ประสาน B - เจได 0645954462
  บ้าน 7 บ้านไอแดง ประสาน B - เอมี่ 0885015035
 บ้าน 8 บ้านไอน์สไตน์ ประสาน B - ปัน 0972987925",พี่บ้านเป็นรับลงทะเบียนน้อง จะมีฝ่ายทะเบียนมาบรีฟงานให้
6,5:45,5:45,-,REG,standby ทะเบียนกลาง,หน้าห้อง 116/3,แองจี้ 0635914155,แองจี้ 0635914155,ไปรับ ATK สำรองที่ห้อง PR 322 สำหรับแจกสตาฟที่ยังไม่ได้รับและน้องที่ลืมตรวจ ATK
7,5:45,06:00,15,REG,โทรตามทะเบียนกลางที่มาสาย,หน้าห้อง 116/3,แองจี้ 0635914155,แองจี้ 0635914155,
8,06:00,06:00,-,PLAN,นัดแผน,ที่ราบสูง,นอร์ท 0951461000,ทุกคนที่มาแล้ว ,**เวลานี้คือทุกคนต้องถึงแล้ว**
10,06:00,06:00,-,COOP,นัดทะเบียนบ้าน,ลานเกียร์,ลูกขุน (0945619146),"บ้าน 1 บ้านไอคัท ประสาน C - เหวิน 0826391541
บ้าน 2 บ้านไอค๊อกแค๊ก ประสาน C - เนม 0988729227
บ้าน 3 บ้านไอรอเธอ ประสาน C - ปิ๊ก 0811499279
บ้าน 4 บ้านไอแฟนยู ประสาน C - ลูกขุน 0945619146
บ้าน 5 บ้านไอจาม ประสาน C - ข้าวหอม 0899397816
บ้าน 6 บ้านไอเพื่อน ประสาน C - ปิงปอง 0989838988
บ้าน 7 บ้านไอแดง ประสาน C - มังกร 0918515467
บ้าน 8 บ้านไอน์สไตน์ ประสาน C - นุติ 0814139767",ทะเบียนบ้านไปรับบรีฟจากทะเบียนกลาง
